title,author(s),length
Embers,Nicole Fanning,Length: 11 hrs and 28 mins
When a Man Loves an Alien,Chloe Archer,Length: 10 hrs and 3 mins
Collided,Becca Steele,Length: 5 hrs and 41 mins
Irish,Brittanee Nicole,Length: 9 hrs and 1 min
Game of Castles,Marcus Sloss,Length: 27 hrs and 3 mins
The Primal Hunter 8,Zogarth,Length: 19 hrs and 50 mins
Lady of Embers,Melissa Roehrich,Length: 23 hrs and 36 mins
Hamartia,Scarlett Drake,Length: 14 hrs and 21 mins
Wind and Truth,Brandon Sanderson,Length: 40 hrs
Midnight Creed,Alex Kava,Length: 8 hrs and 52 mins
What Happens at the Lake,Vi Keeland,Length: 8 hrs and 58 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
Hawke,Jescie Hall,Length: 13 hrs and 8 mins
The Art of Focus,Dan Koe,Length: 6 hrs and 52 mins
Mine to Keep,Natasha Madison,Length: 8 hrs and 2 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
A Sky Full of Stars,Kristen Painter,Length: 9 hrs and 36 mins
Soulstone Bakery,John Broadway,Length: 11 hrs and 13 mins
Antarctica Station,A.G. Riddle,Length: 15 hrs and 45 mins
Jake's Magical Market 2,J.R. Mathews,Length: 20 hrs
Behemoth Hunter,"Marcus Sloss,Stoham Baginbott",Length: 6 hrs and 42 mins
Ruthless Rebel,Faith Summers,Length: 9 hrs and 51 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs
Don't Die,"Zero,Bryan Johnson",Length: 6 hrs and 30 mins
Forever Covert,Kathleen Brooks,Length: 7 hrs and 50 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins
MeatEater's American History: The Long Hunters (1761-1775),"Steven Rinella,Clay Newcomb",Length: 6 hrs and 2 mins
The Talisker Dead,J M Dalgliesh,Length: 9 hrs and 39 mins
Working Class,Nathan Lowell,Length: 11 hrs and 4 mins
"BuyMort: 30,000 Leagues: How I Merged to Become Nu-Earth Affiliated","Damien Hanson,Joseph Phelps",Length: 15 hrs and 58 mins
The Legend of Randidly Ghosthound 6: A LitRPG Adventure,"Noret Flood,puddles4263",Length: 26 hrs and 16 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
Brian Tracy's Master Course for Business Success,Brian Tracy,Length: 5 hrs and 43 mins
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Leather & Lark,Brynne Weaver,Length: Not Yet Known
The Waters,Bonnie Jo Campbell,Length: 14 hrs and 40 mins
Shattered Will,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 50 mins
Wish Upon the Stars 2,Malcolm Tent,Length: 12 hrs and 11 mins
Caregiver's Guide to Dementia & Alzheimer's,Alison Blaire,Length: 4 hrs and 53 mins
Accidental Goblin King,Leon West,Length: 11 hrs and 51 mins
The Teacher,Freida McFadden,Length: 9 hrs and 35 mins
Another Girl,Peter Grainger,Length: 8 hrs and 38 mins
Always Remember,Mary Balogh,Length: 11 hrs and 31 mins
Life After Work,P. Alexander,Length: 4 hrs and 15 mins
Ascendance of a Bookworm: Part 1 Volume 1,"Miya Kazuki,quof - translator,You Shiina - illustrator",Length: 8 hrs and 12 mins
Beneath Her Skin,Gregg Olsen,Length: 9 hrs and 38 mins
The Night Island,Jayne Ann Krentz,Length: 8 hrs and 23 mins
Decoding the Mystery of Life After Life,Joyce T.,Length: 4 hrs and 17 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs
The House of Hidden Meanings,RuPaul,Length: 12 hrs
Valley of the Dead,"Christopher Hopper,J.N. Chaney",Length: 11 hrs and 2 mins
Your Blueprint for Pleasure,Jaiya,Length: 8 hrs and 29 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! Vol. 6,Ryuto,Length: 6 hrs and 7 mins
All the Skills 3: A Deck-Building LitRPG,Honour Rae,Length: 16 hrs and 8 mins
Discovering Daniel,"Amir Tsarfati,Rick Yohn - contributor",Length: 6 hrs and 13 mins
The Bad Weather Friend,Dean Koontz,Length: 8 hrs and 42 mins
Cosmic Progeny: Rise of the Xeno-Sire,A.V. Ray,Length: 13 hrs and 27 mins
Worthy,Jamie Kern Lima,Length: 11 hrs and 30 mins
The Nightmare in Him,Suzanne Wright,Length: 13 hrs and 46 mins
Neighbor Dearest,Penelope Ward,Length: 7 hrs and 28 mins
Shadowblade,"Terry Mancour,Emily Burch Harris",Length: 21 hrs and 22 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
Assembly Required,Nick Noble,Length: 6 hrs and 48 mins
Loving Romeo,Laura Pavlov,Length: 8 hrs and 52 mins
Winter Lost,Patricia Briggs,Length: 11 hrs
The New Menopause,Mary Claire Haver MD,Length: 11 hrs
Reunion,C.J. Petit,Length: 12 hrs and 57 mins
Sex in the Middle Ages,"Jennifer McNabb,The Great Courses",Length: 5 hrs and 12 mins
Entangled,Rebecca Quinn,Length: 21 hrs and 45 mins
Highland Wolves Collection,Tilly Wallace,Length: 29 hrs and 9 mins
Sunshine Avenue,Jan Moran,Length: 6 hrs and 14 mins
No One Can Know,Kate Alice Marshall,Length: 10 hrs and 15 mins
Plan Your Year Like a Millionaire,Rachel Rodgers,Length: 2 hrs
Gut Check,Steven R. Gundry MD,Length: 8 hrs and 59 mins
Random in Death,J. D. Robb,Length: 13 hrs and 6 mins
Million Dollar Weekend,"Noah Kagan,Tahl Raz - contributor",Length: 4 hrs and 33 mins
Jesus in the Old Testament,Tov Rose,Length: 3 hrs and 4 mins
The Exception,Eva Winners,Length: 18 hrs and 46 mins
"Azarinth Healer, Book Three",Rhaegar,Length: 29 hrs and 23 mins
The Fury,Alex Michaelides,Length: 8 hrs and 8 mins
Tied Over,Mary Calmes,Length: 6 hrs and 53 mins
A Touch of Chaos,Scarlett St. Clair,Length: 12 hrs
"Change Your Diet, Change Your Mind",Dr. Georgia Ede MD,Length: 14 hrs and 22 mins
You Like It Darker,Stephen King,Length: 20 hrs
Unravel Me,Becka Mack,Length: 16 hrs and 58 mins
Reign of Stars and Fire,LJ Andrews,Length: 13 hrs and 45 mins
Camino Ghosts,John Grisham,Length: 9 hrs
Thoroughly Pucked,Lauren Blakely,Length: 11 hrs and 7 mins
Argylle,Elly Conway,Length: 13 hrs and 34 mins
The Demon of Unrest,Erik Larson,Length: 15 hrs
The Wolf King's Lair Omnibus,Devan Drake,Length: 63 hrs and 53 mins
Everyone on This Train Is a Suspect,Benjamin Stevenson,Length: 8 hrs and 27 mins
Chimera's Star,Glynn Stewart,Length: 10 hrs and 19 mins
Get the F*ck Out Your Own Way,MJ Harris,Length: 7 hrs and 37 mins
Do the New You,Steven Furtick,Length: 9 hrs and 25 mins
Husband and Wife,K. L. Slater,Length: 9 hrs and 11 mins
The Heiress,Rachel Hawkins,Length: 8 hrs and 20 mins
Magical Midlife Flowers,K.F. Breene,Length: 3 hrs and 55 mins
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Funny Story,Emily Henry,Length: 11 hrs
System Overclocked 2,Randi Darren,Length: 13 hrs and 56 mins
Only If You're Lucky,Stacy Willingham,Length: 10 hrs and 17 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
Point Nemo,Jeremy Robinson,Length: 10 hrs and 33 mins
Supercommunicators,Charles Duhigg,Length: 7 hrs and 29 mins
Wind and Truth,Brandon Sanderson,Length: 45 hrs
Not the End of the World,Hannah Ritchie,Length: 9 hrs and 26 mins
"Overlord, Vol. 11","Kugane Maruyama,so-bin - illustrator",Length: 11 hrs and 9 mins
Lone Wolf,Gregg Hurwitz,Length: 13 hrs and 13 mins
Apocalypse,"R.A. Mejia,Charles Dean",Length: 8 hrs and 34 mins
"Murder, She Wrote: Fit for Murder","Jessica Fletcher,Terrie Farley Moran",Length: 8 hrs
The 5 Resets,Aditi Nerurkar,Length: 8 hrs and 19 mins
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known
House of Earth and Blood (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs
Capitalist Realism,Mark Fisher,Length: 4 hrs and 10 mins
House of Open Wounds,Adrian Tchaikovsky,Length: 23 hrs and 1 min
War Against the Jews,Alan Dershowitz,Length: 4 hrs and 48 mins
I Did a New Thing,Tabitha Brown,Length: 4 hrs and 53 mins
Lethal Vengeance,Robert Bryndza,Length: 10 hrs
The Couple's Revenge,Daniel Hurst,Length: 7 hrs and 11 mins
Red Company: Contact,B.V. Larson,Length: 9 hrs and 57 mins
Three-Inch Teeth,C. J. Box,Length: 12 hrs and 15 mins
Master Class 3,"Virgil Knightley,Annabelle Hawthorne",Length: 10 hrs and 29 mins
Tom Clancy Act of Defiance,"Brian Andrews,Jeffrey Wilson",Length: 13 hrs
This Little Piggy,JD Kirk,Length: 11 hrs and 24 mins
Mine,J.R. Ward,Length: 10 hrs and 46 mins
Jarmen's Jane Doe,S.E. Smith,Length: 7 hrs and 45 mins
Wraith Squadron,Aaron Allston,Length: 16 hrs and 4 mins
Your Pocket Therapist,Dr. Annie Zimmerman,Length: 8 hrs and 17 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
Wait for U,Shvonne Latrice,Length: 12 hrs and 14 mins
Cluelessly Yours,Max Monroe,Length: 9 hrs and 18 mins
The Chaos Agent,Mark Greaney,Length: Not Yet Known
ChatGPT Minion to Millionaire,Bruce Brown,Length: 5 hrs and 16 mins
This Book May Save Your Life,Dr. Karan Rajan,Length: 8 hrs and 45 mins
Erik's Redemption,Nyssa Kathryn,Length: 7 hrs and 15 mins
Celebrating Love Beyond the Binary,Coco Karlrom,Length: 3 hrs and 4 mins
